,city,state,geoid,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,circuity_avg,cluster_coeff_avg,cluster_coeff_weighted_avg,degree_centrality_avg,D_len,D_number,H_len,H_number,EH_number,EH_len,edge_density_km,edge_length_avg,edge_length_total,entropy,dead_end_count,dead_end_proportion,intersect_3way_count,intersect_3way_proportion,intersect_4way_count,intersect_4way_proportion,intersection_count,intersect_density_km,k_avg,edge_count,node_count,node_density_km,pagerank_max,pagerank_min,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,city1
67,ITA_Rimini,Italy,IT508,357.301,2.486395741,0.050740061,1.067890376,0.063496428,0.000311108,0.000352196,0.679330282,0.654439464,1.394124333,1.325249597,0.489374088,0.514807419,9367.520083,124.3230181,3347024,0.12509143,2752,0.222563688,8182,0.661706429,1325,0.107157299,9613,26.90448669,4.354549131,26922,12365,34.60667616,0.000367015,1.22E-05,0.001151475,5237.581247,114.2347099,1871393.017,16382,2.658633239,Rimini
68,ITA_Siracusa,Italy,IT509,336.786,2.519342022,0.060730754,1.07915468,0.055798151,0.000324447,0.000500363,0.700503194,0.499947946,1.441718838,1.053808202,0.457663087,0.626130536,6912.35503,115.4811449,2327984,0.040498212,1771,0.197281943,5473,0.609669155,1560,0.173777431,7206,21.39637633,4.491255431,20159,8977,26.65490846,0.000544398,1.68E-05,0.004811747,3938.197603,106.4299324,1326329.818,12462,2.772418403,Siracusa
69,ITA_Bergamo,Italy,IT511,185.66,2.438152631,0.050935374,1.088840485,0.085214944,0.0007419,0.0004405,0.652773251,0.646882473,1.362592933,1.298894101,0.492181086,0.516318049,11981.40016,104.4890203,2224466,0.003034428,1983,0.201688365,6994,0.711350692,662,0.067331164,7849,42.27620381,4.330553295,21289,9832,52.95701821,0.000451206,1.54E-05,0.003147165,6910.48243,98.90534752,1283000.168,12972,2.649715216,Bergamo
70,ITA_Forli,Italy,IT512,726.758,2.531385625,0.039295391,1.149604393,0.074531597,0.000419084,0.000717122,0.700175855,0.729485151,1.478263412,1.539947874,0.568655586,0.545877403,4462.653323,228.077989,3243269,0.208504815,1261,0.200222293,4540,0.720863766,438,0.069545888,5037,6.93078026,4.515719276,14220,6298,8.665883279,0.000802228,2.39E-05,0.006821378,2363.987451,204.6999633,1718046.792,8393,2.663385202,Forli
71,ITA_Latina,Italy,IT513,665.305,2.552695118,0.043498876,1.076585694,0.052610442,0.000487108,0.000628306,0.709523248,0.695454553,1.44233897,1.409657311,0.567287834,0.580439901,4672.666828,208.5428727,3108748,0.081057199,1984,0.287995355,4369,0.634199448,487,0.070692408,4905,7.372558451,4.327768907,14907,6889,10.35464937,0.000648785,2.18E-05,0.002414973,2465.033792,191.5439508,1639999.307,8562,2.493685586,Latina
72,ITA_Vicenza,Italy,IT514,349.859,2.474835422,0.051141808,1.103937844,0.071539302,0.000420178,0.00045532,0.756964436,0.726544931,1.628875814,1.513759499,0.558985021,0.601493951,7958.155517,137.894722,2784232,0.011579675,2326,0.24697388,6432,0.682947547,542,0.057549374,7092,20.27102347,4.287746868,20191,9418,26.91941611,0.000466679,1.60E-05,0.005695607,4424.676367,128.8614708,1548012.849,12013,2.555744319,Vicenza
73,ITA_erni,Italy,IT515,1025.06,2.49012559,0.04443967,1.205908808,0.084084677,0.000628481,0.000722385,0.777657913,0.724476836,1.678634674,1.569533309,0.611915905,0.654451391,3111.144499,239.0457822,3189109,0.004577298,1370,0.225403093,4165,0.685258309,448,0.073708457,4708,4.592901879,4.389930898,13341,6078,5.92940901,0.000722114,2.48E-05,0.004947155,1680.61257,216.9683528,1722728.721,7940,2.614182297,erni
74,ITA_Novara,Italy,IT516,541.4,2.572006926,0.044383647,1.061850279,0.06701847,0.000547155,0.000742152,0.759855197,0.614788526,1.664473951,1.332118243,0.491910468,0.614639252,3763.696925,149.3561178,2037665,0.123780608,1392,0.229551451,4040,0.666226913,556,0.091688654,4672,8.629479128,4.499670185,13643,6064,11.20059106,0.000851823,2.49E-05,0.001026167,2097.235866,142.9849513,1135443.498,7941,2.626978892,Novara
75,ITA_Alexandria,Italy,IT518,768.391,2.544918734,0.041775738,1.072141686,0.047630453,0.000274536,0.000762394,0.748880984,0.733998144,1.641324539,1.561485066,0.59168289,0.621935916,3619.356713,213.5842964,2781081,0.011070382,1379,0.235928144,3831,0.655431993,519,0.088793841,4466,5.812145119,4.455431993,13021,5845,7.606804348,0.000904414,2.58E-05,0.000537593,1982.78306,201.1025156,1523552.658,7576,2.608725406,Alexandria
76,ITA_Arezzo,Italy,IT519,884.984,2.581487071,0.065302973,1.148240922,0.08378897,0.000480567,0.00068756,0.736716676,0.740953595,1.582477537,1.614209312,0.596078061,0.584360488,3620.347333,212.3086253,3203949,0.003353184,1468,0.221551464,4442,0.670389375,502,0.075762149,5158,5.828353959,4.555086025,15091,6626,7.48714101,0.000594407,2.27E-05,0.002915645,1921.000342,196.7655749,1700054.567,8640,2.609417446,Arezzo
